,Player,Nation,Pos,Squad,Comp,Age
2663,Corentin Tolisso,FRA,2,Bayern Munich,Bundesliga,27
2664,Jeremy Toljan,GER,1,Sassuolo,Serie A,27
2665,Rafael Tolói,ITA,1,Atalanta,Serie A,31
2666,Raúl de Tomás,ESP,3,Espanyol,La Liga,27
2667,Tiago Tomás,POR,3,Stuttgart,Bundesliga,19
2668,Takehiro Tomiyasu,JPN,1,Bologna,Serie A,23
2669,Takehiro Tomiyasu,JPN,1,Arsenal,Premier League,23
2670,James Tomkins,ENG,1,Crystal Palace,Premier League,33
2671,Fikayo Tomori,ENG,1,Milan,Serie A,24
2672,Sandro Tonali,ITA,2,Milan,Serie A,22
2673,Lorenzo Tonelli,ITA,1,Empoli,Serie A,32
2674,Ivan Toney,ENG,3,Brentford,Premier League,26
2675,Ernesto Torregrossa,ITA,3,Sampdoria,Serie A,29
2676,Lucas Torreira,URU,2,Fiorentina,Serie A,26
2677,Raúl Torrente,ESP,1,Granada,La Liga,21
2678,Ferrán Torres,ESP,3,Manchester City,Premier League,22
2679,Ferrán Torres,ESP,3,Barcelona,La Liga,22
2680,Óliver Torres,ESP,2,Sevilla,La Liga,27
2681,Pau Torres,ESP,1,Villarreal,La Liga,25
2682,Roberto Torres,ESP,2,Osasuna,La Liga,33
2683,Lucas Torró,ESP,2,Osasuna,La Liga,27
2684,Jordan Torunarigha,GER,1,Hertha BSC,Bundesliga,24
2685,Cenk Tosun,TUR,3,Everton,Premier League,30
2686,Abdoulaye Touré,FRA,2,Genoa,Serie A,28
2687,Almamy Touré,MLI,1,Eint Frankfurt,Bundesliga,26
2688,Lucas Tousart,FRA,2,Hertha BSC,Bundesliga,25
2689,Yoann Touzghar,TUN,3,Troyes,Ligue 1,35
2690,Andros Townsend,ENG,2,Everton,Premier League,30
2691,Adama Traoré,ESP,3,Barcelona,La Liga,26
2692,Adama Traoré,ESP,3,Wolves,Premier League,26
2693,Amadou Traore,FRA,3,Bordeaux,Ligue 1,20
2694,Bertrand Traoré,BFA,2,Aston Villa,Premier League,26
2695,Boubacar Traoré,MLI,2,Metz,Ligue 1,20
2696,Charles Traore,MLI,1,Nantes,Ligue 1,30
2697,Hamari Traoré,MLI,1,Rennes,Ligue 1,30
2698,Ismaël Traoré,CIV,1,Angers,Ligue 1,35
2699,Kevin Trapp,GER,4,Eint Frankfurt,Bundesliga,31
2700,Miguel Trauco,PER,1,Saint-Étienne,Ligue 1,29
2701,Óscar Trejo,ARG,2,Rayo Vallecano,La Liga,34
2702,Trézéguet,EGY,3,Aston Villa,Premier League,27
2703,Manu Trigueros,ESP,2,Villarreal,La Liga,30
2704,Simone Trimboli,ITA,2,Sampdoria,Serie A,20
2705,Christopher Trimmel,AUT,1,Union Berlin,Bundesliga,35
2706,Francisco Trincão,POR,3,Wolves,Premier League,22
2707,Kieran Trippier,ENG,1,Newcastle Utd,Premier League,31
2708,Kieran Trippier,ENG,1,Atlético Madrid,La Liga,31
2709,William Troost-Ekong,NGA,1,Watford,Premier League,28
2710,Leandro Trossard,BEL,3,Brighton,Premier League,27
2711,Adrien Truffert,FRA,1,Rennes,Ligue 1,20
2712,Philipp Tschauner,GER,4,RB Leipzig,Bundesliga,36
2713,Kostas Tsimikas,GRE,1,Liverpool,Premier League,26
2714,Axel Tuanzebe,ENG,1,Aston Villa,Premier League,24
2715,Axel Tuanzebe,ENG,1,Napoli,Serie A,24
2716,Ozan Tufan,TUR,2,Watford,Premier League,27
2717,Beñat Turrientes,ESP,2,Real Sociedad,La Liga,20
2718,Tuta,BRA,1,Eint Frankfurt,Bundesliga,22
2719,Christos Tzolis,GRE,3,Norwich City,Premier League,20
2720,Iyenoma Udogie,ITA,1,Udinese,Serie A,19
2721,Matthieu Udol,FRA,1,Metz,Ligue 1,26
2722,Ike Ugbo,CAN,3,Troyes,Ligue 1,23
2723,Chimuanya Ugochukwu,FRA,2,Rennes,Ligue 1,18
2724,Hwang Ui-jo,KOR,3,Bordeaux,Ligue 1,29
2725,Anthony Ujah,NGA,3,Union Berlin,Bundesliga,31
2726,Maximilian Ullmann,AUT,1,Venezia,Serie A,25
2727,Sven Ulreich,GER,4,Bayern Munich,Bundesliga,33
2728,Samuel Umtiti,FRA,1,Barcelona,La Liga,28
2729,Enes Ünal,TUR,3,Getafe,La Liga,25
2730,Cengiz Ünder,TUR,3,Marseille,Ligue 1,24
2731,Dayot Upamecano,FRA,1,Bayern Munich,Bundesliga,23
2732,Benjamin Uphoff,GER,4,Freiburg,Bundesliga,28
2733,Kacper Urbanski,POL,2,Bologna,Serie A,17
2734,Jere Uronen,FIN,1,Brest,Ligue 1,27
2735,Mark Uth,GER,2,Köln,Bundesliga,30
2736,Myrto Uzuni,ALB,2,Granada,La Liga,26
2737,Antonio Vacca,ITA,2,Venezia,Serie A,32
2738,Álvaro Vadillo,ESP,2,Espanyol,La Liga,27
2739,Óscar Valentín,ESP,2,Rayo Vallecano,La Liga,27
2740,Germán Valera,ESP,3,Real Sociedad,La Liga,20
2741,Yan Valery,FRA,1,Southampton,Premier League,23
2742,Martin Valjent,SVK,1,Mallorca,La Liga,26
2743,Jesús Vallejo,ESP,1,Real Madrid,La Liga,25
2744,Manu Vallejo,ESP,2,Alavés,La Liga,25
2745,Manu Vallejo,ESP,3,Valencia,La Liga,25
2746,Federico Valverde,URU,2,Real Madrid,La Liga,23
2747,Vanderson,BRA,3,Monaco,Ligue 1,20
2748,Zinho Vanheusden,BEL,1,Genoa,Serie A,22
2749,Jonathan Varane,FRA,2,Lens,Ligue 1,20
2750,Raphaël Varane,FRA,1,Manchester Utd,Premier League,29
2751,Jamie Vardy,ENG,3,Leicester City,Premier League,35
2752,Ruben Vargas,SUI,2,Augsburg,Bundesliga,23
2753,Sebastian Vasiliadis,GRE,2,Arminia,Bundesliga,24
2754,Johan Vásquez,MEX,1,Genoa,Serie A,23
2755,Denis Vavro,SVK,1,Lazio,Serie A,26
2756,José Luis García Vayá,ESP,2,Levante,La Liga,23
2757,Jesus Vazquez,ESP,1,Valencia,La Liga,19
2758,Kevin Vázquez,ESP,1,Celta Vigo,La Liga,29
2759,Lucas Vázquez,ESP,1,Real Madrid,La Liga,30
2760,Matías Vecino,URU,2,Inter,Serie A,30
2761,Gabriel Veiga,ESP,2,Celta Vigo,La Liga,20
2762,Miguel Veloso,POR,2,Hellas Verona,Serie A,36
2763,Joël Veltman,NED,1,Brighton,Premier League,30
2764,Mickey van de Ven,NED,1,Wolfsburg,Bundesliga,21
2765,Unai Vencedor Paris,ESP,2,Athletic Club,La Liga,21
2766,Lorenzo Venuti,ITA,1,Fiorentina,Serie A,27
2767,Daniele Verde,ITA,3,Spezia,Serie A,25
2768,Simone Verdi,ITA,3,Salernitana,Serie A,29
2769,Simone Verdi,ITA,3,Torino,Serie A,29
2770,Gonzalo Verdú,ESP,1,Elche,La Liga,33
2771,Jordan Veretout,FRA,2,Roma,Serie A,29
2772,Edoardo Vergani,ITA,3,Salernitana,Serie A,21
2773,Vincent Vermeij,NED,2,Freiburg,Bundesliga,27
2774,Marco Verratti,ITA,2,Paris S-G,Ligue 1,29
2775,Valerio Verre,ITA,2,Empoli,Serie A,28
2776,Valerio Verre,ITA,2,Sampdoria,Serie A,28
2777,Freddie Veseli,ALB,1,Salernitana,Serie A,29
2778,Mikel Vesga,ESP,2,Athletic Club,La Liga,29
2779,Jannik Vestergaard,DEN,1,Leicester City,Premier League,29
2780,Rúben Vezo,POR,1,Levante,La Liga,28
2781,Guglielmo Vicario,ITA,4,Empoli,Serie A,25
2782,Aleix Vidal,ESP,1,Espanyol,La Liga,32
2783,Arturo Vidal,CHI,2,Inter,Serie A,35
2784,Nacho Vidal,ESP,1,Osasuna,La Liga,27
2785,Gabriel Vidovic,CRO,2,Bayern Munich,Bundesliga,18
2786,Ronaldo Vieira,GNB,2,Sampdoria,Serie A,23
2787,Nick Viergever,NED,1,Greuther Fürth,Bundesliga,32
2788,Luca Vignali,ITA,1,Spezia,Serie A,26
2789,Emanuel Vignato,ITA,2,Bologna,Serie A,21
2790,Dídac Vilà,ESP,1,Espanyol,La Liga,32
2791,Tonny Vilhena,NED,2,Espanyol,La Liga,27
2792,Daniel Villahermosa,ESP,2,Espanyol,La Liga,21
2793,Asier Villalibre,ESP,3,Athletic Club,La Liga,24
2794,Gonzalo Villar,ESP,2,Getafe,La Liga,24
2795,Matías Viña,URU,1,Roma,Serie A,24
2796,Nicolas Viola,ITA,2,Bologna,Serie A,32
2797,Mattia Viti,ITA,1,Empoli,Serie A,20
2798,Vitolo,ESP,2,Getafe,La Liga,32
2799,Daniel Vivian,ESP,1,Athletic Club,La Liga,22
2800,Duan Vlahovi?,SRB,3,Juventus,Serie A,22
2801,Duan Vlahovi?,SRB,3,Fiorentina,Serie A,22
2802,Nikola Vlai?,CRO,3,West Ham,Premier League,24
2803,Andreas Voglsammer,GER,3,Union Berlin,Bundesliga,30
2804,Kevin Vogt,GER,1,Hoffenheim,Bundesliga,30
2805,Mërgim Vojvoda,KVX,1,Torino,Serie A,27
2806,Kevin Volland,GER,2,Monaco,Ligue 1,29
2807,Cristian Volpato,AUS,2,Roma,Serie A,18
2808,Aster Vranckx,BEL,2,Wolfsburg,Bundesliga,19
2809,Stefan de Vrij,NED,1,Inter,Serie A,30
2810,ime Vrsaljko,CRO,1,Atlético Madrid,La Liga,30
2811,Nikola Vuk?evi?,MNE,2,Levante,La Liga,30
2812,Mat?j Vydra,CZE,3,Burnley,Premier League,30
2813,Walace,BRA,2,Udinese,Serie A,27
2814,Theo Walcott,ENG,2,Southampton,Premier League,33
2815,Luca Waldschmidt,GER,2,Wolfsburg,Bundesliga,26
2816,Kyle Walker,ENG,1,Manchester City,Premier League,32
2817,Kyle Walker-Peters,ENG,1,Southampton,Premier League,25
2818,Sebastian Walukiewicz,POL,1,Cagliari,Serie A,22
2819,Aaron Wan-Bissaka,ENG,1,Manchester Utd,Premier League,24
2820,Paul Wanner,GER,3,Bayern Munich,Bundesliga,16
2821,Danny Ward,WAL,4,Leicester City,Premier League,28
2822,Joel Ward,ENG,1,Crystal Palace,Premier League,32
2823,James Ward-Prowse,ENG,2,Southampton,Premier League,27
2824,Magnus Warming,DEN,3,Torino,Serie A,21
2825,Daniel Wass,DEN,1,Atlético Madrid,La Liga,32
2826,Daniel Wass,DEN,2,Valencia,La Liga,32
2827,Ollie Watkins,ENG,3,Aston Villa,Premier League,26
2828,Timothy Weah,USA,2,Lille,Ligue 1,22
2829,Adam Webster,ENG,1,Brighton,Premier League,27
2830,Wout Weghorst,NED,3,Burnley,Premier League,29
2831,Wout Weghorst,NED,3,Wolfsburg,Bundesliga,29
2832,Noah Weißhaupt,GER,2,Freiburg,Bundesliga,20
2833,Danny Welbeck,ENG,3,Brighton,Premier League,31
2834,Timo Werner,GER,3,Chelsea,Premier League,26
2835,Ashley Westwood,ENG,2,Burnley,Premier League,32
2836,Ben White,ENG,1,Arsenal,Premier League,24
2837,Silvan Widmer,SUI,1,Mainz 05,Bundesliga,29
2838,Georginio Wijnaldum,NED,2,Paris S-G,Ligue 1,31
2839,Jetro Willems,NED,1,Greuther Fürth,Bundesliga,28
2840,Brandon Williams,ENG,1,Norwich City,Premier League,21
2841,Iñaki Williams,ESP,3,Athletic Club,La Liga,27
2842,Neco Williams,WAL,1,Liverpool,Premier League,21
2843,Nico Williams,ESP,2,Athletic Club,La Liga,19
2844,Joe Willock,ENG,2,Newcastle Utd,Premier League,22
2845,Callum Wilson,ENG,3,Newcastle Utd,Premier League,30
2846,Patrick Wimmer,AUT,3,Arminia,Bundesliga,20
2847,Jonas Wind,DEN,3,Wolfsburg,Bundesliga,23
2848,Marten Winkler,GER,2,Hertha BSC,Bundesliga,19
2849,Harry Winks,ENG,2,Tottenham,Premier League,26
2850,Frederik Winther,DEN,1,Augsburg,Bundesliga,21
2851,Florian Wirtz,GER,2,Leverkusen,Bundesliga,19
2852,Yoane Wissa,COD,3,Brentford,Premier League,25
2853,Axel Witsel,BEL,2,Dortmund,Bundesliga,33
2854,Hannes Wolf,AUT,3,M'Gladbach,Bundesliga,23
2855,Marius Wolf,GER,1,Dortmund,Bundesliga,27
2856,Luca Wollschläger,GER,3,Hertha BSC,Bundesliga,19
2857,Jeong Woo-yeong,KOR,3,Freiburg,Bundesliga,22
2858,Chris Wood,NZL,3,Newcastle Utd,Premier League,30
2859,Chris Wood,NZL,3,Burnley,Premier League,30
2860,Freddie Woodman,ENG,4,Newcastle Utd,Premier League,25
2861,Christopher Wooh,FRA,1,Lens,Ligue 1,20
2862,Joscha Wosz,GER,1,RB Leipzig,Bundesliga,19
2863,Xeka,POR,2,Lille,Ligue 1,27
2864,Granit Xhaka,SUI,2,Arsenal,Premier League,29
2865,Sekou Yansané,GUI,3,Paris S-G,Ligue 1,19
2866,Andriy Yarmolenko,UKR,3,West Ham,Premier League,32
2867,Yusuf Yazýcý,TUR,2,Lille,Ligue 1,25
2868,Kelvin Yeboah,ITA,3,Genoa,Serie A,22
2869,Gerard Yepes,ESP,2,Sampdoria,Serie A,19
2870,Burak Yýlmaz,TUR,3,Lille,Ligue 1,36
2871,Okay Yokuþlu,TUR,1,Celta Vigo,La Liga,28
2872,Okay Yokuþlu,TUR,1,Getafe,La Liga,28
2873,Leny Yoro,FRA,2,Lille,Ligue 1,16
2874,Maya Yoshida,JPN,1,Sampdoria,Serie A,33
2875,Ashley Young,ENG,1,Aston Villa,Premier League,36
2876,Nathan Young-Coombes,ENG,3,Brentford,Premier League,19
2877,Zaydou Youssouf,FRA,2,Saint-Étienne,Ligue 1,22
2878,Mattia Zaccagni,ITA,2,Hellas Verona,Serie A,26
2879,Mattia Zaccagni,ITA,3,Lazio,Serie A,26
2880,Dan-Axel Zagadou,FRA,1,Dortmund,Bundesliga,22
2881,Wilfried Zaha,CIV,3,Crystal Palace,Premier League,29
2882,Denis Zakaria,SUI,2,Juventus,Serie A,25
2883,Denis Zakaria,SUI,2,M'Gladbach,Bundesliga,25
2884,Joseba Zaldúa,ESP,1,Real Sociedad,La Liga,29
2885,Nicola Zalewski,POL,1,Roma,Serie A,20
2886,Andre-Frank Zambo Anguissa,CMR,2,Napoli,Serie A,26
2887,Nicolò Zaniolo,ITA,3,Roma,Serie A,22
2888,Alessandro Zanoli,ITA,1,Napoli,Serie A,21
2889,Mattia Zanotti,ITA,1,Inter,Serie A,19
2890,Duván Zapata,COL,3,Atalanta,Serie A,31
2891,Gabriele Zappa,ITA,1,Cagliari,Serie A,22
2892,Davide Zappacosta,ITA,1,Atalanta,Serie A,29
2893,Oier Zarraga,ESP,2,Athletic Club,La Liga,23
2894,Simone Zaza,ITA,3,Torino,Serie A,30
2895,Akim Zedadka,FRA,1,Clermont Foot,Ligue 1,26
2896,Deyovaisio Zeefuik,NED,1,Hertha BSC,Bundesliga,24
2897,Marvin Zeegelaar,NED,1,Udinese,Serie A,31
2898,Arber Zeneli,KVX,3,Reims,Ligue 1,27
2899,Robin Zentner,GER,4,Mainz 05,Bundesliga,27
2900,Andi Zeqiri,SUI,3,Augsburg,Bundesliga,22
2901,Mehdi Zerkane,ALG,2,Bordeaux,Ligue 1,22
2902,Edon Zhegrova,KVX,2,Lille,Ligue 1,23
2903,Luca Zidane,FRA,4,Rayo Vallecano,La Liga,24
2904,Piotr Zieli?ski,POL,2,Napoli,Serie A,28
2905,David Zima,CZE,1,Torino,Serie A,21
2906,Christoph Zimmermann,GER,1,Norwich City,Premier League,29
2907,Oleksandr Zinchenko,UKR,1,Manchester City,Premier League,25
2908,Hakim Ziyech,MAR,3,Chelsea,Premier League,29
2909,Jeroen Zoet,NED,4,Spezia,Serie A,31
2910,Simon Zoller,GER,3,Bochum,Bundesliga,30
2911,Nadir Zortea,ITA,1,Salernitana,Serie A,22
2912,Banhie Zoukrou,FRA,1,Troyes,Ligue 1,19
2913,Kurt Zouma,FRA,1,West Ham,Premier League,27
2914,Petar Zovko,BIH,4,Spezia,Serie A,20
2915,Igor Zubeldia,ESP,1,Real Sociedad,La Liga,25
2916,Martín Zubimendi,ESP,2,Real Sociedad,La Liga,23
2917,Szymon ?urkowski,POL,2,Empoli,Serie A,24
2918,Martin Ødegaard,NOR,2,Arsenal,Premier League,23
2919,Milan ?uri?,BIH,3,Salernitana,Serie A,32
2920,Filip ?uri?i?,SRB,2,Sassuolo,Serie A,30
